season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_season_type,player_week
2022,REG,8,week,5,Michael Gallup,00-0034764,Michael Gallup,M.Gallup,GAL779981,WR,WR,13,1200,2022,46150,32004741-4c77-9981-95e1-30b1c57c6002,Michael,Gallup,Michael,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mq0spwjm7whbnz2iut32,WR,1200,3.525,2.412757980534951,8.171666666666667,25.076718494271688,4,6,66.66666666666666,49,0,4.9725,4.799896351630423,0.1726036483695772,REG,8
2022,REG,8,week,5,CeeDee Lamb,00-0036358,CeeDee Lamb,C.Lamb,LAM138457,WR,WR,88,1200,2022,52425,32004c41-4d13-8457-fcbe-d37fdbd87233,Cedarian,Lamb,CeeDee,SLOT_WR,WR,88,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/f8elvw51jgvzf95weg1o,WR,1200,5.727142857142858,2.114256453461691,12.891428571428571,46.15384615384615,5,7,71.42857142857143,77,1,2.2440000000000007,1.381585288175779,0.8624147118242216,REG,8
2022,REG,8,week,5,Jerry Jeudy,00-0036407,Jerry Jeudy,J.Jeudy,JEU415291,WR,WR,10,1400,2022,52423,32004a45-5541-5291-9f8b-8595dc100c90,Jerry,Jeudy,Jerry,SLOT_WR,WR,10,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/by7fgv4x0iunsyx5ah2i,WR,1400,5.007142857142857,4.214808748774893,7.984285714285714,20.583360954590653,6,7,85.71428571428571,63,1,6.489999999999999,6.698054841965065,-0.2080548419650654,REG,8
2022,REG,8,week,5,Greg Dulcich,00-0037252,Greg Dulcich,G.Dulcich,DUL269681,TE,TE,80,1400,2022,54545,32004455-4c26-9681-69d0-93e30ab63839,Greg,Dulcich,Greg,TE,TE,80,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jtnydhekjp1aznekq0cq,TE,1400,6.2575,4.064491836905484,21.664,39.892461238168906,4,5,80.0,87,0,8.204999999999998,7.397826141044561,0.8071738589554371,REG,8
2022,REG,8,week,5,Josh Reynolds,00-0033943,Josh Reynolds,J.Reynolds,REY398905,WR,WR,8,1540,2022,44930,32005245-5939-8905-3a79-3286353be377,Joshua Dedmon-Reynolds,Reynolds,Josh,WR,WR,08,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/khqejrdwhxxjzvbco3nv,WR,1540,6.48,2.61499165612129,13.410000000000002,30.600136913364263,2,6,33.33333333333333,14,0,2.6799999999999997,2.630240545414381,0.04975945458561881,REG,8
2022,REG,8,week,5,Amon-Ra St. Brown,00-0036963,Amon-Ra St. Brown,A.St. Brown,STB415291,WR,WR,14,1540,2022,53541,32005354-4241-5291-a564-57e98d35161d,Amon-Ra,St. Brown,Amon-Ra,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/tlas9vqczunxkpb2jlz1,WR,1540,5.913333333333333,3.4270900420519737,6.7829999999999995,25.79675971704571,7,10,70.0,69,0,4.95,4.890562929816334,0.05943707018366595,REG,8
2022,REG,8,week,5,Robert Tonyan,00-0033757,Robert Tonyan,R.Tonyan,TON816385,TE,TE,85,1800,2022,45635,3200544f-4e81-6385-721e-9beac148ba1c,Robert,Tonyan,Robert,TE,WR,85,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wpczdpw0xasgspqhsup9,TE,1800,10.407499999999999,4.751930018862564,5.046666666666666,12.877434719741432,5,6,83.33333333333334,35,0,5.41,7.438561083891682,-2.028561083891682,REG,8
2022,REG,8,week,5,Romeo Doubs,00-0037816,Romeo Doubs,R.Doubs,DOU043165,WR,WR,87,1800,2022,54597,3200444f-5504-3165-5639-a63528da6f6e,Romeo,Doubs,Romeo,WR,WR,87,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wciz0bsjd4bedpiwggog,WR,1800,4.348333333333334,2.7973027508015456,19.34714285714286,57.59547503614869,4,7,57.14285714285714,62,1,3.8874999999999993,2.992210325921576,0.8952896740784233,REG,8
2022,REG,8,week,5,Brandin Cooks,00-0031236,Brandin Cooks,B.Cooks,COO299382,WR,WR,13,2120,2022,41246,3200434f-4f29-9382-29e1-70020b0a09be,Brandin,Cooks,Brandin,WR,WR,13,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/fsvyyiinddsyo87r9l3t,WR,2120,7.005,2.8125848031152354,17.488333333333333,44.75390258466263,4,6,66.66666666666666,73,0,2.5275,2.5157887614808985,0.011711238519101386,REG,8
2022,REG,8,week,5,Phillip Dorsett,00-0032208,Phillip Dorsett,P.Dorsett,DOR488199,WR,WR,4,2120,2022,42372,3200444f-5248-8199-3ca5-f2de722dd057,Phillip,Dorsett,Phillip,WR,WR,04,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wta1whv8pvjhmndkrnxy,WR,2120,7.825999999999999,2.176941115783227,14.803999999999998,31.570417128721317,1,5,20.0,6,0,-0.8500000000000014,0.5264272833715964,-1.3764272833715978,REG,8
2022,REG,8,week,5,Brevin Jordan,00-0036556,Brevin Jordan,B.Jordan,JOR035760,TE,TE,9,2120,2022,53576,32004a4f-5203-5760-5721-234f0b7d2f1c,Brevin,Jordan,Brevin,TE,TE,09,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/jq0vmujycrgmnqlevj4b,TE,2120,8.985,4.068416487613591,1.15,2.4524439136739744,2,5,40.0,19,0,9.54,8.155916401215336,1.3840835987846631,REG,8
2022,REG,8,week,5,Michael Pittman,00-0036252,Michael Pittman,M.Pittman,PIT228050,WR,WR,11,2200,2022,52442,32005049-5422-8050-a8f8-f5210135a4b3,Michael,Pittman,Michael,WR,WR,11,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mkhwsbbkzcjzp7hd8u5x,WR,2200,6.55375,2.8454945186985117,6.778888888888891,30.848965970571886,7,9,77.77777777777779,53,0,3.2185714285714258,3.326316394964408,-0.10774496639298237,REG,8
2022,REG,8,week,5,Alec Pierce,00-0037664,Alec Pierce,A.Pierce,PIE185673,WR,WR,14,2200,2022,54518,32005049-4518-5673-88cc-339d3b35d4c9,Alec,Pierce,Alec,WR,WR,14,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/em0lm1sfdslmnfyu8ykh,WR,2200,4.8340000000000005,2.1162859373404395,20.659999999999997,52.23239116145015,3,5,60.0,65,0,3.4533333333333354,4.587966193392806,-1.134632860059471,REG,8
