season,season_type,week,scope,threshold,player_name,player_gsis_id,player_display_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_smart_id,player_first_name,player_last_name,player_football_name,player_suffix,player_status,player_headshot,position,team_id,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_short_name,player_ngs_position,player_ngs_position_group,player_gsis_it_id,player_season_type,player_week
2016,REG,7,week,5,Michael Crabtree,00-0026986,Michael Crabtree,CRA111040,WR,WR,15,2520,2016,32004352-4111-1040-c59d-b7b219582be7,Michael,Crabtree,Michael,II,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/kcavcmeyaion38ewxwyk,WR,2520,4.0055555555555555,1.2377242977196434,10.72090909090909,54.72897716725449,8,11,72.72727272727273,96,1,0.4737499999999999,1.764360546171375,-1.290610546171375,M.Crabtree,WR,WR,,REG,7
2016,REG,7,week,5,Seth Roberts,00-0031166,Seth Roberts,ROB240370,WR,WR,10,2520,2016,3200524f-4224-0370-24b1-002f3e8d6b15,Seth,Roberts,Seth,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/evaluuij0u4wrxo94tkw,WR,2520,5.08,3.195695039403072,7.641111111111111,31.914794876554666,4,9,44.44444444444444,42,0,5.157500000000002,5.6182711720475,-0.4607711720474974,S.Roberts,SLOT_WR,WR,,REG,7
2016,REG,7,week,5,Amari Cooper,00-0031544,Amari Cooper,COO487703,WR,WR,89,2520,2016,3200434f-4f48-7703-16a5-c78426109031,Amari,Cooper,Amari,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ekwyie7av318q4eaffiy,WR,2520,3.6050000000000004,3.758694440484775,3.2739999999999996,7.596992760348986,4,5,80.0,29,0,6.23,6.1053481102075,0.12465188979250019,A.Cooper,WR,WR,,REG,7
2016,REG,7,week,5,Kenny Stills,00-0030085,Kenny Stills,STI417540,WR,WR,10,2700,2016,32005354-4941-7540-2f57-a0adf1ab483e,Kenneth,Stills,Kenny,Jr.,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/ets69ksudoveicvp50ob,WR,2700,6.838749999999999,1.7868683125490294,16.165,45.8110453788657,5,8,62.5,100,1,7.506,2.0339807748802,5.4720192251198,K.Stills,WR,WR,40092,REG,7
2016,REG,7,week,5,Jarvis Landry,00-0031382,Jarvis Landry,LAN163029,WR,WR,14,2700,2016,32004c41-4e16-3029-78da-4985470f8aab,Jarvis,Landry,Jarvis,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/q69hmki4eshmfhyh6xzv,WR,2700,7.715714285714285,2.8881976706180983,10.641250000000003,30.156930815827703,5,8,62.5,78,0,6.086,4.4770371198556,1.6089628801444,J.Landry,SLOT_WR,WR,41292,REG,7
2016,REG,7,week,5,Kyle Rudolph,00-0027981,Kyle Rudolph,RUD559717,TE,TE,82,3000,2016,32005255-4455-9717-7e48-fda7c76802aa,Kyle,Rudolph,Kyle,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/mghugoiw9q76t8dwqhz1,TE,3000,6.483,3.078450433764796,7.051818181818178,28.435793100920097,5,11,45.45454545454545,55,0,3.924000000000002,6.844954621796001,-2.9209546217959987,K.Rudolph,TE,TE,,REG,7
2016,REG,7,week,5,Adam Thielen,00-0030035,Adam Thielen,THI510348,WR,WR,19,3000,2016,32005448-4951-0348-440c-28f32f21652b,Adam,Thielen,Adam,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/stmxpojttikyk6i8hgi0,WR,3000,5.7540000000000004,2.6277121246045145,14.844,27.207742219289553,2,5,40.0,52,0,7.100000000000001,8.994575738895,-1.8945757388949982,A.Thielen,WR,WR,,REG,7
2016,REG,7,week,5,Cordarrelle Patterson,00-0030578,Cordarrelle Patterson,PAT387075,WR,WR,84,3000,2016,32005041-5438-7075-4e25-a1072ce2f5ac,Cordarrelle,Patterson,Cordarrelle,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/bwmoxqokbhdgx6dap9hd,WR,3000,8.77142857142857,4.292802611115531,3.798571428571432,9.747424758972109,7,7,100.0,67,1,6.227142857142854,5.569629924637143,0.6575129325057114,C.Patterson,WR,WR,,REG,7
2016,REG,7,week,5,Stefon Diggs,00-0031588,Stefon Diggs,DIG218895,WR,WR,14,3000,2016,32004449-4721-8895-fc23-d2bf4c921bd4,Stefon,Diggs,Stefon,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/wrvjgnqxlwmh3jcpwknm,WR,3000,6.45,2.604120989554739,14.063999999999998,25.77807104365995,2,5,40.0,18,0,1.0150000000000006,2.8958579301849996,-1.880857930184999,S.Diggs,SLOT_WR,WR,,REG,7
2016,REG,7,week,5,Julian Edelman,00-0027150,Julian Edelman,EDE425791,WR,WR,11,3200,2016,32004544-4542-5791-52f0-bc67f5a8aae9,Julian,Edelman,Julian,,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/u0hbuo2bsvtlg7lnxm43,WR,3200,6.265000000000001,2.6068941156901095,3.9959999999999978,22.745901639344254,9,10,90.0,60,0,3.04777777777778,4.1981028715777775,-1.1503250937999976,J.Edelman,WR,WR,,REG,7
