season,season_type,week,game_id,play_id,team_id,team_abbr,play_game_key,play_sequence,play_description,play_type_code,play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_home_score,play_visitor_score,play_direction,play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,play_is_change_of_possession
2018,REG,5,2018100706,1999,3430,NYJ,57637,1999,"(1:17) S.Darnold pass deep left to R.Anderson for 35 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,3430,01:17,DEN 35,35,DEN,45,2018-10-07T18:26:16.000Z,false,false,true,false,false,20,10,left,APPROVED,14,10,true,,,
2018,REG,5,2018100706,4213,3430,NYJ,57637,4213,"(:11) (No Huddle, Shotgun) C.Keenum pass short left intended for C.Sutton INTERCEPTED by M.Maye (M.Claiborne) at NYJ -5. M.Maye to DEN 1 for 104 yards (C.Sutton).",2,play_type_pass,4,2,3,1400,00:11,NYJ 3,3,NYJ,107,2018-10-07T20:10:59.000Z,false,false,false,true,false,34,16,right,APPROVED,34,16,true,,,
2018,REG,5,2018100707,889,3900,PIT,57638,889,"(:43) (Shotgun) B.Roethlisberger pass deep middle to J.Smith-Schuster for 18 yards, TOUCHDOWN.",2,play_type_pass,1,3,8,3900,00:43,ATL 18,18,ATL,28,2018-10-07T17:33:38.000Z,false,false,true,false,false,12,0,left,APPROVED,6,0,true,,,
2018,REG,5,2018100707,1113,0200,ATL,57638,1113,"(11:29) (Shotgun) M.Ryan pass short middle to M.Sanu for 43 yards, TOUCHDOWN.",2,play_type_pass,2,1,10,0200,11:29,PIT 43,43,PIT,53,2018-10-07T17:45:43.000Z,false,false,true,false,false,13,6,left,APPROVED,13,0,true,,,
2018,REG,5,2018100709,3830,3700,PHI,57640,3830,"(1:15) (Shotgun) C.Wentz pass short left to Z.Ertz for 7 yards, TOUCHDOWN.",2,play_type_pass,4,1,7,3700,01:15,MIN 7,7,MIN,103,2018-10-07T23:22:48.000Z,false,false,true,true,false,20,23,right,APPROVED,14,23,true,,,
2018,REG,5,2018100710,355,3800,ARI,57641,355,"(9:49) J.Rosen pass deep middle to C.Kirk for 75 yards, TOUCHDOWN. Caught at SF 22.  22-YAC",2,play_type_pass,1,1,10,3800,09:49,ARI 25,25,ARI,35,2018-10-07T20:37:37.000Z,false,false,true,false,false,6,6,right,APPROVED,6,0,true,,,
2018,REG,5,2018100800,1829,3300,NO,57644,1829,"(2:46) (Shotgun) D.Brees pass deep right to T.Smith for 62 yards, TOUCHDOWN. Pass 24, YAC 38 PENALTY on NO-M.Thomas, Taunting, 15 yards, enforced between downs. With this TD pass completion, NO #9 D.Brees becomes the NFL's all-time leader in passing yardage.",2,play_type_pass,2,1,10,3300,02:46,NO 38,38,NO,72,2018-10-09T01:33:11.000Z,false,true,true,false,false,26,6,left,APPROVED,20,6,false,,,
2018,REG,6,2018101100,204,3700,PHI,57645,204,"(13:27) (Shotgun) C.Wentz pass short right to A.Jeffery for 13 yards, TOUCHDOWN. Penalty on NYG-A.Ogletree, Illegal Contact, declined.",2,play_type_pass,1,3,7,3700,13:27,NYG 13,13,NYG,97,2018-10-12T00:28:08.000Z,false,false,true,false,false,0,6,right,APPROVED,0,0,true,,,
2018,REG,6,2018101100,1438,3410,NYG,57645,1438,(8:06) (Shotgun) E.Manning pass short right to S.Barkley to PHI 13 for 55 yards (B.Graham).,2,play_type_pass,2,2,10,3410,08:06,NYG 32,32,NYG,42,2018-10-12T01:24:05.000Z,false,false,false,false,false,3,14,right,APPROVED,3,14,true,,,
2018,REG,6,2018101100,2858,3410,NYG,57645,2858,"(6:19) (No Huddle, Shotgun) S.Barkley right tackle for 50 yards, TOUCHDOWN.",2,play_type_rush,3,1,10,3410,06:19,50,,,60,2018-10-12T02:34:45.000Z,false,false,true,false,false,12,31,left,APPROVED,6,31,true,,,
