season,season_type,week,scope,threshold,team_id,player_gsis_id,player_display_name,player_short_name,player_esb_id,player_position_group,player_position,player_jersey_number,player_current_team_id,player_season,player_gsis_it_id,player_smart_id,player_first_name,player_last_name,player_football_name,player_ngs_position,player_ngs_position_group,player_uniform_number,player_status,player_headshot,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,player_season_type,player_week
2021,PRE,0,season,15,0750,00-0032104,Ameer Abdullah,A.Abdullah,ABD647726,RB,RB,20,0750,2021,42397,32004142-4464-7726-b649-e09413abd27c,Ameer,Abdullah,Ameer,RB,RB,20,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/rdnyt8rtgggzetl9udfu,3.554470588235295,23.52941176470588,2.4897058823529403,17,85,5.0,0,109.55250415343706,-24.552504153437056,-1.4442649502021798,0.23529411764705882,,
2021,PRE,0,season,15,0750,00-0036543,Spencer Brown,S.Brown,BRO690603,RB,RB,33,0750,2021,53746,32004252-4f69-0603-d5ae-fd4c5f3c0572,Spencer,Brown,Spencer,RB,RB,33,RES,,4.460952380952381,8.333333333333332,2.6155,24,84,3.5,1,107.25471061779521,-23.25471061779521,-0.9689462757414672,0.375,,
2021,PRE,0,season,15,0750,00-0036555,Chuba Hubbard,C.Hubbard,HUB179324,RB,RB,30,0750,2021,53555,32004855-4217-9324-a63d-319921de85bb,Chuba,Hubbard,Chuba,RB,RB,30,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/nkitu0vqly1r1vreldfn,3.326115107913669,34.61538461538461,2.720869565217391,26,139,5.346153846153846,0,112.83598616122825,26.16401383877175,1.0063082245681443,0.3076923076923077,,
2021,PRE,0,season,15,0920,00-0035442,Elijah Holyfield,E.Holyfield,HOL799542,RB,RB,33,0920,2021,48586,3200484f-4c79-9542-5012-235f6662a469,Elijah,Holyfield,Elijah,RB,RB,33,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/iuu3wj8ijzzthdv6n6uw,3.946923076923077,0.0,3.268333333333333,20,91,4.55,0,74.29011191779442,10.70988808220558,0.5949937823447544,0.3333333333333333,,
2021,PRE,0,season,15,0920,00-0036857,Chris Evans,C.Evans,EVA105967,RB,RB,25,0920,2021,53631,32004556-4110-5967-b1b8-845c260e1531,Chris,Evans,Chris,RB,RB,25,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/zy1arcaxeerecvvoz0if,6.266617647058823,12.5,2.654684210526316,24,68,2.8333333333333335,1,80.95746397600966,-12.957463976009663,-0.539894332333736,0.4583333333333333,,
2021,PRE,0,season,15,1050,00-0034808,John Kelly,J.Kelly,KEL641184,RB,RB,41,1050,2021,46245,32004b45-4c64-1184-f35f-fa8ffac29350,John,Kelly,John,RB,RB,41,RES,https://static.www.nfl.com/image/private/{formatInstructions}/league/bzxdybo7yboaqo4ciepk,5.993793103448276,33.33333333333333,3.13265,27,87,3.2222222222222223,1,97.74225942461642,-10.742259424616421,-0.39786146017097856,0.37037037037037035,,
2021,PRE,0,season,15,1050,00-0034995,Dexter Williams,D.Williams,WIL036343,RB,RB,22,1050,2021,47977,32005749-4c03-6343-3624-9a83687bd3f7,Dexter,Williams,Dexter,RB,RB,22O,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/j13nyurtcej8pa7jg494,3.5549999999999993,17.647058823529413,2.6836470588235293,17,82,4.823529411764706,0,78.48491824030495,3.5150817596950503,0.20676951527617943,0.4117647058823529,,
2021,PRE,0,season,15,1050,00-0036117,Benny LeMay,B.LeMay,LEM125404,RB,RB,42,1050,2021,53021,3200474f-5204-5716-a75e-4ec8e313a651,Benjamin,LeMay,Benny,RB,RB,42O,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/xgpoknpmjtzd179wflfn,4.754096385542169,0.0,2.7552173913043476,28,83,2.9642857142857144,1,117.73848040209855,-34.738480402098546,-1.2406600143606623,0.2857142857142857,,
2021,PRE,0,season,15,1050,00-0036208,Artavis Pierce,A.Pierce,PIE194559,RB,RB,31,1050,2021,53091,32005049-4519-4559-dd07-3fb75ff004b3,Artavis,Pierce,Artavis,RB,RB,31,DEV,https://static.www.nfl.com/image/private/{formatInstructions}/league/yyb62mnfyphbutq3hpy7,3.5420224719101117,29.411764705882355,3.146,17,89,5.235294117647059,0,65.75871449879703,23.241285501202967,1.3671344412472333,0.35294117647058826,,
2021,PRE,0,season,15,1200,00-0033725,Corey Clement,C.Clement,CLE186218,RB,RB,32,1200,2021,45599,3200434c-4518-6218-e72b-31a350611a4e,Corey,Clement,Corey,RB,RB,32,ACT,https://static.www.nfl.com/image/private/{formatInstructions}/league/d0whg6ebm1wtgknelxb0,3.2834883720930232,5.555555555555555,2.892117647058823,18,86,4.777777777777778,0,82.14815494227338,3.851845057726621,0.21399139209592338,0.4444444444444444,,
