season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_health_player_tracking_is_ok,play_health_ball_tracking_is_ok,leader_player_name,leader_first_name,leader_last_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_season_avg,leader_team_avg,leader_time,play_is_goal_to_go,leader_suffix,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_short_name
2016,POST,fastest_ball_carriers,1,2017020500,57167,1587,1587,"(2:36) (Shotgun) T.Brady pass short left intended for D.Amendola INTERCEPTED by R.Alford at ATL 18. R.Alford for 82 yards, TOUCHDOWN.",2,play_type_pass,2,3,6,3200,02:36,ATL 23,23,ATL,33,2017-02-06T00:44:08.000Z,false,false,true,false,true,20,0,left,APPROVED,14,0,true,true,true,Robert Alford,Robert,Alford,00-0030528,ALF657259,0200,ATL,23,CB,DB,22,https://static.www.nfl.com/image/private/{formatInstructions}/league/wbev0tvoeyqqhatigwgp,21.640909139,100.05999999999997,82,,,,false,,5.89,26.91,
2016,POST,fastest_ball_carriers,2,2017011400,57161,3215,3215,(8:31) (Shotgun) R.Wilson pass deep left intended for A.Collins INTERCEPTED by R.Allen [K.Neal] at ATL 9. R.Allen pushed ob at SEA 46 for 45 yards (G.Fant).,2,play_type_pass,4,3,16,4600,08:31,ATL 36,36,ATL,46,2017-01-15T00:17:30.000Z,false,false,false,false,true,29,13,left,APPROVED,29,13,true,true,true,Ricardo Allen,Ricardo,Allen,00-0031181,ALL641418,0200,ATL,37,FS,DB,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/xamcdivgeq7wbmmypeyl,20.700000046,83.29999999999998,45,,,,false,,16.22,30.7,
2016,POST,fastest_ball_carriers,3,2017011400,57161,1065,1065,"(10:34) M.Bosher punts 60 yards to SEA 13, Center-J.Harris. D.Hester ran ob at ATL 7 for 80 yards (C.Goodwin). PENALTY on SEA-K.Pierre-Louis, Offensive Holding, 6 yards, enforced at SEA 13.",2,play_type_punt,2,4,8,0200,10:34,ATL 27,27,ATL,83,2017-01-14T22:24:51.000Z,true,true,false,false,true,7,10,left,APPROVED,7,10,false,true,true,Devin Hester,Devin,Hester,00-0024272,HES267217,4600,SEA,17,WR,WR,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/jtntm2ci9doez4qxbx0c,20.618181864,118.12999999999997,0,,,,false,,8.64,75.59,
2016,POST,fastest_ball_carriers,4,2017011400,57161,813,813,"(13:22) (Shotgun) R.Wilson pass deep left to P.Richardson for 52 yards, TOUCHDOWN. The Replay Official reviewed the runner was not down by contact ruling, and the play was REVERSED. (Shotgun) R.Wilson pass deep left to P.Richardson to ATL 19 for 33 yards (J.Collins). Penalty on ATL-B.Poole, Defensive Holding, declined.",2,play_type_pass,2,2,7,4600,13:22,SEA 48,48,SEA,58,2017-01-14T22:12:27.000Z,false,false,false,false,false,7,7,right,APPROVED,7,7,true,true,true,Paul Richardson,Paul,Richardson,00-0031257,RIC593564,4600,SEA,10,WR,WR,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/jxsldwomavxfbs7gueqt,20.5159091365,47.0,33,,,,false,Jr.,7.87,64.99,
2016,POST,fastest_ball_carriers,5,2017010701,57158,3318,3318,"(4:44) (Shotgun) R.Wilson pass deep left to P.Richardson to DET 40 for 27 yards (N.Lawson) [D.Taylor]. Penalty on DET-N.Lawson, Defensive Pass Interference, declined.",2,play_type_pass,4,3,5,4600,04:44,SEA 33,33,SEA,43,2017-01-08T03:48:49.000Z,false,false,false,false,false,19,6,right,APPROVED,19,6,true,true,true,Paul Richardson,Paul,Richardson,00-0031257,RIC593564,4600,SEA,10,WR,WR,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/jxsldwomavxfbs7gueqt,20.250000045,32.61,27,,,,false,Jr.,5.38,47.7,
2016,POST,fastest_sacks,1,2017011400,57161,1127,1127,"(9:28) R.Wilson sacked in End Zone for -4 yards, SAFETY (B.Garland).",2,play_type_sack,2,2,13,4600,09:28,SEA 4,4,SEA,14,2017-01-14T22:28:22.000Z,false,false,true,false,false,9,10,right,APPROVED,7,10,false,true,true,Ben Garland,Ben,Garland,00-0027282,GAR218169,0200,ATL,63,C,OL,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/s1hk0hluld2zpfkq1yhr,,,,2.033,4.2871,2.033,false,,13.77,26.65,
2016,POST,fastest_sacks,2,2017011400,57161,889,889,(12:56) (Shotgun) R.Wilson sacked at ATL 26 for -7 yards (B.Reed).,2,play_type_sack,2,1,10,4600,12:56,ATL 19,19,ATL,91,2017-01-14T22:16:59.000Z,false,false,false,false,false,7,7,right,APPROVED,7,7,false,true,true,Brooks Reed,Brooks,Reed,00-0027980,REE154467,0200,ATL,50,DE,DL,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/hcnuqe5ulqoldxue1xjt,,,,2.552,4.2871,2.552,false,,10.0,100.81,
2016,POST,fastest_sacks,3,2017011501,57164,4044,4044,(:23) (Shotgun) A.Rodgers sacked at GB 32 for -10 yards (J.Heath).,2,play_type_sack,4,1,10,1800,00:23,GB 42,42,GB,68,2017-01-16T00:54:21.000Z,false,false,false,false,false,31,31,left,APPROVED,31,31,false,true,true,Jeff Heath,Jeffrey,Heath,00-0030196,HEA721605,1200,DAL,38,SS,DB,19,https://static.www.nfl.com/image/private/{formatInstructions}/league/knimytdhoo3rqiacbgtm,,,,2.809,3.2816666666666663,2.809,false,,10.0,58.13,
2016,POST,fastest_sacks,4,2017010800,57159,2156,2156,"(10:57) M.Moore sacked at PIT 42 for -5 yards (M.Mitchell). FUMBLES (M.Mitchell) [M.Mitchell], RECOVERED by PIT-L.Walton at PIT 41. L.Walton to PIT 41 for no gain (J.Ajayi).",2,play_type_sack,3,1,10,2700,10:57,PIT 37,37,PIT,47,2017-01-08T19:59:51.000Z,false,false,false,false,true,20,6,left,APPROVED,20,6,false,true,true,Mike Mitchell,Michael,Mitchell,00-0027023,MIT560825,3900,PIT,23,FS,DB,18,https://static.www.nfl.com/image/private/{formatInstructions}/league/ztkfeslzvq6tia7qix7a,,,,2.815,4.242222222222221,2.815,false,,10.0,37.41,M.Mitchell
2016,POST,fastest_sacks,5,2017020500,57167,3386,3386,"(8:31) (Shotgun) M.Ryan sacked at ATL 25 for -11 yards (D.Hightower). FUMBLES (D.Hightower) [D.Hightower], RECOVERED by NE-A.Branch at ATL 25. A.Branch to ATL 25 for no gain (C.Chester).",2,play_type_sack,4,3,1,0200,08:31,ATL 36,36,ATL,46,2017-02-06T02:37:40.000Z,false,false,false,false,true,28,12,right,APPROVED,28,12,false,true,true,Dont'a Hightower,Dont'a,Hightower,00-0029669,HIG766208,3200,NE,54,MLB,LB,22,https://static.www.nfl.com/image/private/{formatInstructions}/league/ye8raazdvcmtv19wpmvo,,,,2.869,4.5186,2.869,false,,1.93,46.52,D.Hightower
