season,season_type,week,game_id,game_key,game_date,home_team_id,home_team_abbr,visitor_team_id,visitor_team_abbr,category,side,esb_id,team_id,player_name,short_name,headshot,position,jersey_number,max_speed,gsis_play_id,tackle_info_time_to_tackle,pass_info_air_distance
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,time_to_sack_leaders,home,BAR076775,5110,Ricky Barber,R.Barber,https://static.www.nfl.com/image/upload/{formatInstructions}/league/updqursgjxdp8zsjelp2,DT,50,,1694,4.872,
2026,PRE,1,2026081453,60459,08/14/2026,5110,WAS,2700,MIA,time_to_sack_leaders,visitor,REI408593,2700,Mason Reiger,M.Reiger,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l0onarptlshevpa3bba1,DE,90,,3532,4.084,
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,pass_distance_leaders,home,ALL529264,0610,Josh Allen,J.Allen,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mjwbioajzldkq1vzoz2d,QB,17,,569,,36.028533136945775
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,pass_distance_leaders,visitor,TRA389332,0750,Kyle Trask,K.Trask,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xd0hbsqzz2xhh392woow,QB,14,,4077,,28.301593594707704
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,speed_leaders,home,MAC704888,0610,Ja'Mori Maclin,J.Maclin,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pzy27lpwlernu820cyfd,WR,84,18.940909133,3293,,
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,speed_leaders,visitor,MET373452,0750,John Metchie III,J.Metchie,https://static.www.nfl.com/image/upload/{formatInstructions}/league/nsjpnskeldxzbzckpfgg,WR,13,19.227272770000003,4077,,
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,time_to_sack_leaders,home,DAN721566,0610,Michael Danna,M.Danna,https://static.www.nfl.com/image/upload/{formatInstructions}/league/brbpgu0xj2w0egcy5pid,DE,51,,3168,4.245,
2026,PRE,1,2026081551,60460,08/15/2026,0610,BUF,0750,CAR,time_to_sack_leaders,visitor,GIP564972,0750,Trevis Gipson,T.Gipson,https://static.www.nfl.com/image/upload/{formatInstructions}/league/p5qxxhu4ecnzjcfva9b0,DE,52,,1501,3.004,
2026,PRE,1,2026081552,60461,08/15/2026,0810,CHI,1050,CLE,pass_distance_leaders,home,BAG565656,0810,Tyson Bagent,T.Bagent,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ymimvligfyrucu0v3p6a,QB,17,,2042,,36.94158902916873
2026,PRE,1,2026081552,60461,08/15/2026,0810,CHI,1050,CLE,pass_distance_leaders,visitor,SAN478221,1050,Shedeur Sanders,S.Sanders,https://static.www.nfl.com/image/upload/{formatInstructions}/league/joe08hz6to2madpko8zl,QB,2,,2512,,37.86357088284199
